,Avg_Fractal,Std_Fractal,Dataset
Anime,1.605783420238403,0.10213226273343692,Anime
Art,1.5245536709935985,0.2091503697800892,Art
Cat,1.5399746159172394,0.10373696964104542,Cat
CelebA,1.5154986824094632,0.1043259124024549,CelebA
Dining,1.5522259065788153,0.10167156336485803,Dining
Dog,1.5158006514194042,0.12902855354005457,Dog
Fauvism,1.5169948256630912,0.12124349376638018,Fauvism
FFHQ,1.495444013879258,0.11411029930669814,FFHQ
Garbage,1.5160493743457628,0.10274744958318519,Garbage
Grumpy,1.5757699442109228,0.04649832562371305,Grumpy
Influ,1.626936003759957,0.04600024877512007,Influ
Moon,1.492863043770613,0.1032019555212433,Moon
Panda,1.5584677822750554,0.05607822946312445,Panda
Poke,1.6596123543478527,0.027250615452629086,Poke
Shells,1.4462485242397376,0.13086715314454875,Shells
Skulls,1.5092785326188138,0.17622657453772408,Skulls
