,Avg_garbor_response_consistency,Std_garbor_response_consistency,Avg_garbor_local_variance,Std_garbor_local_variance,Dataset
Anime,-0.14022614747007117,0.6947185606457664,5469.099645597215,631.6266562234638,Anime
Art,-0.3116365850343716,1.2595042356309865,5245.6709339053705,963.5326557738905,Art
Cat,-1.4371912878787878,1.3554888317889722,4203.99585786078,1051.979935845646,Cat
CelebA,-1.286216143641274,1.240352074920939,4768.208030542019,745.5261481714429,CelebA
Dining,-0.8611255699354657,0.901223831953163,4793.605538374173,629.4547693200724,Dining
Dog,-1.6216823859252247,1.276753932681609,4354.419168080251,948.3127413246655,Dog
Fauvism,-0.49899954935499713,0.970424028343488,5188.79512164792,815.5784669251916,Fauvism
FFHQ,-1.6016478544121773,1.054248542261324,4396.200132818122,684.3529796909072,FFHQ
Garbage,-0.26968800855780034,0.9566809686928848,5442.269300428039,807.5178263694536,Garbage
Grumpy,-0.5797296774165265,0.49774665286796926,5128.631571268523,494.350903908783,Grumpy
Influ,-0.028429748877665507,0.46527836227201047,5240.916663874193,620.2546137673016,Influ
Moon,-0.165718906204535,1.2042330983752636,5466.794977211364,841.223314032382,Moon
Panda,-1.4016110256207914,0.8819219321637122,4886.727166816014,600.7125823951332,Panda
Poke,-0.10360086542508407,0.24394735985814672,5029.791555703463,645.9796238111654,Poke
Shells,-2.9643291503358236,1.7072831792148657,3885.8240560160066,1173.107075239586,Shells
Skulls,-2.517057709528006,2.0183684988142825,3630.6406612620817,1189.0910546755897,Skulls
