,Avg_saliency_size,Avg_num_connectedSaliency,Std_saliency_size,Std_num_connectedSaliency,Dataset
Anime,3479.0667,863.525,1642.5919,252.69355494023455,Anime
Art,4235.0,931.27,3050.633,335.7738779297758,Art
Cat,6881.12,1287.0,3879.1025,184.06623807749207,Cat
CelebA,3281.75,825.92,1486.7313,242.05122102563334,CelebA
Dining,3547.43,1027.01,1570.3203,265.2120093434685,Dining
Dog,9195.78,1230.71,3142.8457,189.71748970508753,Dog
Fauvism,3486.5886,910.0483870967741,2343.848,331.8147281054913,Fauvism
FFHQ,2611.14,624.95,1698.9227,273.90324477815153,FFHQ
Garbage,6507.45,1195.77,2385.692,247.15176936449393,Garbage
Grumpy,7658.44,1227.33,2307.0354,151.09242568706082,Grumpy
Influ,2796.0,764.07,1567.2957,250.85403146052886,Influ
Moon,3786.763,889.9111111111112,2421.0898,288.2250526717869,Moon
Panda,20220.34,890.7,2636.7651,152.21185893352725,Panda
Poke,2175.37,580.2,1410.143,217.8463219795092,Poke
Shells,6841.9062,1196.328125,2613.783,235.7839354345083,Shells
Skulls,7173.6353,1262.5104166666667,2339.7773,158.05892854088648,Skulls
