,Avg_NumberOfSegments,Avg_Avg_SizeOfSegments,Avg_SizeOfLargest_Segment,Std_Num_Segments,Std_Avg_SizeOfSegments,Std_SizeOfLargest_Segment
0,43.516666666666666,421.7682558002937,6133.725,11.032515075398214,130.7930945914864,2144.562900151994
1,51.27,494.9942855557601,6195.48,22.41377032094333,343.3696508429338,2492.8352110799465
2,32.97,597.3902032912844,6018.03,10.441700053152264,175.77378314860314,2337.694002451989
3,36.31,629.7253740900439,4683.23,11.367229213840986,180.58696294958204,1414.855461557823
4,82.09,263.2641621929108,3865.42,19.630636770110133,64.94963407753916,1953.11036646678
5,34.05,586.0241700763198,5834.85,12.149382700367948,166.57893152703718,2284.358178460637
6,70.61290322580645,365.183029815867,4931.556451612903,30.774337255362035,191.96467073489703,2593.43881903999
7,40.08,557.005810524332,5750.7,13.362394994910154,171.88078387800496,1418.5275217633248
8,70.37,320.7943899056043,4133.38,18.26781596141148,96.24751010023104,1781.114346581937
9,50.42,486.1563446674156,5364.47,13.886813889442028,117.47076012279788,1946.689885189729
10,74.11,304.6751700269581,3180.47,26.90497909309725,113.89332971104643,1576.1840022979552
11,61.91851851851852,375.10578853509935,4143.414814814815,23.362537866914,169.48920414891433,2094.828572090611
12,31.67,485.2000034151297,5686.83,8.297053693932565,109.21603796653746,1384.696111462728
13,35.87,491.7910510033582,3807.01,10.88820921915078,158.27740815157685,1296.360601800286
14,26.546875,743.7955113266647,5917.296875,12.938471808307773,352.0561864264603,2497.3223703078934
15,28.89583333333333,693.5922747025439,7370.885416666667,7.672297524572125,233.3289056194641,2212.200219190688
