,Avg_SpatialInformation,Std_SpatialInformation,Dataset
Anime,134.13671047405612,22.718934510313563,Anime
Art,102.15470409690339,35.34640000458572,Art
Cat,91.06715460898091,24.588216580846492,Cat
CelebA,87.72277477954795,19.544432498524486,CelebA
Dining,114.2001072933534,27.2386432414048,Dining
Dog,91.53896223937355,26.235358830054018,Dog
Fauvism,115.11899724745055,34.822916398793176,Fauvism
FFHQ,92.26453756429945,20.320753968101986,FFHQ
Garbage,116.45326192118489,29.81582489691398,Garbage
Grumpy,114.72429264780627,16.930227455867524,Grumpy
Influ,111.74992771088604,26.215216336319102,Influ
Moon,121.62358432270466,30.50285812931156,Moon
Panda,89.82120127554121,12.469613400676483,Panda
Poke,94.72742968511459,18.47355226743855,Poke
Shells,97.62459622806777,20.853584795869946,Shells
Skulls,103.17829372246513,28.463897632809626,Skulls
